iter	Logloss
0	0.6267096089
1	0.5683547853
2	0.5190264022
3	0.4766774822
4	0.4403477803
5	0.4104977889
6	0.383105279
7	0.3628040821
8	0.3418597316
9	0.3241547108
10	0.3119068761
11	0.2998196568
12	0.2877002246
13	0.2786520197
14	0.2706813035
15	0.2638820535
16	0.2575016824
17	0.2523448209
18	0.2479573138
19	0.2429905665
20	0.2390829354
21	0.235482432
22	0.232465197
23	0.2297304851
24	0.226970382
25	0.2249339647
26	0.2232941681
27	0.2210333551
28	0.2191785301
29	0.21771178
30	0.2159816777
31	0.2145904743
32	0.213234652
33	0.2116405056
34	0.2102582838
35	0.2094545068
36	0.2084051102
37	0.2067525575
38	0.2060439488
39	0.2042886441
40	0.2033879995
41	0.2021116852
42	0.2010439433
43	0.1999275541
44	0.1993758835
45	0.1987995269
46	0.1983030094
47	0.1970937817
48	0.1964681413
49	0.1956445503
50	0.1950424872
51	0.194546671
52	0.194086506
53	0.1935343079
54	0.1930962619
55	0.1927553941
56	0.19168416
57	0.190410822
58	0.1899370903
59	0.1896288049
60	0.1892132705
61	0.1888353891
62	0.1885519404
63	0.1881670873
64	0.1878539147
65	0.1873436517
66	0.187105311
67	0.186791524
68	0.1865173555
69	0.186192945
70	0.1859697625
71	0.1858571047
72	0.1856406081
73	0.1848942185
74	0.1846685873
75	0.1844443309
76	0.1842212956
77	0.1840188685
78	0.1837753868
79	0.1835202639
80	0.1833339776
81	0.1831606282
82	0.1824804839
83	0.1822855421
84	0.1816348298
85	0.1814709148
86	0.18085233
87	0.1806019693
88	0.1799879429
89	0.1798067536
90	0.1796437813
91	0.1791333573
92	0.1789867908
93	0.1787996873
94	0.1787220154
95	0.1785427806
96	0.1783768987
97	0.1782731182
98	0.1781677456
99	0.1780330967
100	0.1778909144
101	0.1777815692
102	0.1773279628
103	0.1772197295
104	0.1771347014
105	0.1770241723
106	0.1765363847
107	0.1764411024
108	0.1763156791
109	0.1761264576
110	0.1760247555
111	0.1759129638
112	0.1758253539
113	0.1758084062
114	0.1757337504
115	0.1754307465
116	0.1752944354
117	0.1752082498
118	0.175106149
119	0.1749608228
120	0.1746880327
121	0.1745427579
122	0.174417365
123	0.1743039637
124	0.1740516348
125	0.173909658
126	0.173810051
127	0.1736817856
128	0.1735879064
129	0.1734792465
130	0.1734275599
131	0.1732891781
132	0.1732315425
133	0.1731141916
134	0.1730149715
135	0.1728989576
136	0.1727205149
137	0.172636585
138	0.172429333
139	0.1721891415
140	0.1720929276
141	0.1719106981
142	0.1717979218
143	0.1717032674
144	0.1715950802
145	0.1714768681
146	0.1713975485
147	0.1713124353
148	0.1712498647
149	0.1711333514
150	0.1710457002
151	0.1709534616
152	0.1708878088
153	0.1707527064
154	0.1706424471
155	0.1705270276
156	0.1704540793
157	0.1703787861
158	0.1702904055
159	0.170186831
160	0.1700559572
161	0.1699471468
162	0.1698588278
163	0.1697951805
164	0.1695970806
165	0.1695339541
166	0.1694366908
167	0.1693882687
168	0.1692620403
169	0.1692153062
170	0.1691211868
171	0.1690462518
172	0.1689830794
173	0.1688704191
174	0.1687382622
175	0.1686636131
176	0.1685654079
177	0.168488252
178	0.1684568994
179	0.1683994428
180	0.1683258677
181	0.1682222493
182	0.1680814806
183	0.1680279788
184	0.1679416955
185	0.1678854791
186	0.1677855652
187	0.1677291788
188	0.1676263467
189	0.1675319221
190	0.1674231712
191	0.1673390286
192	0.1672245548
193	0.1671922886
194	0.1671182726
195	0.1670295335
196	0.1669397571
197	0.1668602068
198	0.1668137844
199	0.1667499073
200	0.1666436824
201	0.1665661689
202	0.1665055315
203	0.1664162197
204	0.1663788379
205	0.1662822148
206	0.1662405514
207	0.1662079405
208	0.1661587928
209	0.1661293398
210	0.1660533454
211	0.165982313
212	0.1659096251
213	0.1657498903
214	0.1656718258
215	0.1655611284
216	0.1654279978
217	0.1653939089
218	0.1652872541
219	0.165200271
220	0.1650996019
221	0.165037773
222	0.164906861
223	0.164790994
224	0.1647271918
225	0.1646628065
226	0.1646181758
227	0.1645162914
228	0.1644070878
229	0.1643101643
230	0.1641711892
231	0.1640688124
232	0.1639795687
233	0.163916788
234	0.1638359015
235	0.1637687111
236	0.163666627
237	0.1636099914
238	0.1635282118
239	0.1634809975
240	0.1634156332
241	0.1633204321
242	0.1632802671
243	0.1632229718
244	0.1631649654
245	0.1630857821
246	0.163030339
247	0.1629537308
248	0.162884948
249	0.1627789476
250	0.1627191248
251	0.1626707906
252	0.1626116587
253	0.1625403723
254	0.1624554353
255	0.1624331197
256	0.162332434
257	0.1622950299
258	0.1622393471
259	0.1621352468
260	0.1620836809
261	0.1619831239
262	0.1619405068
263	0.1618792948
264	0.1618394785
265	0.1617863477
266	0.1617525461
267	0.1616735032
268	0.1616510933
269	0.1615779556
270	0.1615301857
271	0.1614576685
272	0.1614058026
273	0.1613503158
274	0.1612647554
275	0.1611992405
276	0.1610816614
277	0.1610155788
278	0.1608888146
279	0.1608292638
280	0.160778576
281	0.1606890454
282	0.1606477146
283	0.1605874514
284	0.1605396511
285	0.160434543
286	0.1603815372
287	0.1602730974
288	0.1601801315
289	0.1601255386
290	0.1600448624
291	0.1599351564
292	0.1598861661
293	0.1598074161
294	0.159749252
295	0.1596968822
296	0.1596660382
297	0.1595886139
298	0.1595216827
299	0.1594452768
300	0.1594043202
301	0.1593528423
302	0.1592906899
303	0.1592546573
304	0.1592205722
305	0.1591694103
306	0.1591116364
307	0.1591002453
308	0.1590220715
309	0.1589774123
310	0.158932822
311	0.158871144
312	0.1587695427
313	0.1586850235
314	0.1586739045
315	0.1586466138
316	0.1585847172
317	0.1584980172
318	0.1583729952
319	0.1583610474
320	0.1582718289
321	0.1582127233
322	0.1581757848
323	0.1581315543
324	0.1580856076
325	0.1580068702
326	0.1579249865
327	0.157867934
328	0.1578251814
329	0.1577690396
330	0.1577247703
331	0.1576739684
332	0.1575693464
333	0.1574847045
334	0.1573891655
335	0.1573209576
336	0.1572679625
337	0.1571915847
338	0.1571258857
339	0.1570714666
340	0.1569900188
341	0.1568861195
342	0.1568223599
343	0.1567283333
344	0.1566926315
345	0.1566408236
346	0.1566241088
347	0.1565485358
348	0.1564877511
349	0.1563944551
350	0.1563425959
351	0.1562608221
352	0.1562012275
353	0.1561160692
354	0.1560758092
355	0.1560400354
356	0.1559862459
357	0.1559159031
358	0.1558440939
359	0.1558017011
360	0.1557347379
361	0.1556689655
362	0.1556157318
363	0.1555492742
364	0.1554637364
365	0.1554215493
366	0.1553739923
367	0.1552990291
368	0.1552346883
369	0.1551622038
370	0.1550550439
371	0.1549727168
372	0.1548831538
373	0.1548413986
374	0.1548007326
375	0.1547455446
376	0.1547013095
377	0.1546508935
378	0.154566004
379	0.1544973548
380	0.1544232074
381	0.1543864881
382	0.1543080985
383	0.1542179822
384	0.1541357337
385	0.1540932878
386	0.1540101574
387	0.1539617795
388	0.1539075334
389	0.1538710067
390	0.1538180201
391	0.1537862178
392	0.1537252056
393	0.1536619263
394	0.1535855873
395	0.1535432498
396	0.1534481615
397	0.1533739616
398	0.1533145395
399	0.1532574315
400	0.1532240127
401	0.1531568991
402	0.1531139134
403	0.1530127408
404	0.1529478929
405	0.1528479815
406	0.152796526
407	0.1527570937
408	0.1526827594
409	0.1526119634
410	0.1525510604
411	0.1524706307
412	0.1524181163
413	0.1523474607
414	0.1523029737
415	0.1522325735
416	0.1521809219
417	0.1521398335
418	0.1521022868
419	0.1520186097
420	0.1519781186
421	0.1519003652
422	0.1518365629
423	0.151766655
424	0.151692201
425	0.1516201079
426	0.1515363231
427	0.1514857158
428	0.1514066248
429	0.15139615
430	0.1513607401
431	0.1512780734
432	0.1512047532
433	0.1511378091
434	0.1510689878
435	0.1510119347
436	0.1509517896
437	0.150890074
438	0.1508234135
439	0.150779811
440	0.1507253422
441	0.1506780516
442	0.1506401782
443	0.1505884879
444	0.1505624013
445	0.1505113122
446	0.1504551007
447	0.1504057223
448	0.1503693117
449	0.150313581
450	0.1502425938
451	0.1502037562
452	0.1501571065
453	0.1500896307
454	0.1500679783
455	0.1499950396
456	0.1499767777
457	0.1498997896
458	0.1498475254
459	0.149800483
460	0.1497357092
461	0.1496857676
462	0.1496374935
463	0.1495935049
464	0.1495696936
465	0.1495319958
466	0.1494670576
467	0.1494332011
468	0.1493994048
469	0.1493788555
470	0.1493432119
471	0.1492878664
472	0.1492416162
473	0.14917104
474	0.1491542092
475	0.1490998181
476	0.1490291247
477	0.1490222457
478	0.1489810085
479	0.1489442626
480	0.1488585444
481	0.1488362016
482	0.1487648965
483	0.1487242861
484	0.1486742465
485	0.1486263116
486	0.1485758251
487	0.1485408141
488	0.148456602
489	0.1484340974
490	0.1483759422
491	0.1483439863
492	0.1482867195
493	0.1482184576
494	0.148188763
495	0.1481582744
496	0.1480836337
497	0.1480288678
498	0.1479454175
499	0.1479105024
500	0.1478446589
501	0.1477638698
502	0.1477305636
503	0.1476584916
504	0.1476211255
505	0.147551383
506	0.1475075135
507	0.1474548533
508	0.1473888586
509	0.1473796589
510	0.1473260011
511	0.1472947219
512	0.147291413
513	0.147252672
514	0.1472118031
515	0.1471364104
516	0.1470680917
517	0.1470214932
518	0.1469385774
519	0.1469105918
520	0.1468565672
521	0.1467820751
522	0.1467062043
523	0.1466659953
524	0.1466287635
525	0.1465481112
526	0.1465089802
527	0.1464677096
528	0.146377718
529	0.1463171514
530	0.1462473776
531	0.1461965806
532	0.1461771848
533	0.1461183138
534	0.145999135
535	0.1459344284
536	0.1458838427
537	0.1458120991
538	0.1457614399
539	0.1457128498
540	0.1456866231
541	0.1456620469
542	0.1455945109
543	0.1455396769
544	0.1454842534
545	0.1454163089
546	0.14534197
547	0.1453269972
548	0.1453020778
549	0.1452648329
550	0.14518853
551	0.1451618446
552	0.145112926
553	0.1450738236
554	0.145016419
555	0.1449556423
556	0.1449251516
557	0.1448724796
558	0.144795107
559	0.14473945
560	0.1446730964
561	0.1446001197
562	0.1445774112
563	0.1444976026
564	0.1444654677
565	0.1444586192
566	0.1444237792
567	0.1443711957
568	0.1443149443
569	0.1442908126
570	0.1442515974
571	0.1442098898
572	0.1441687664
573	0.1440978603
574	0.1440520174
575	0.1440184977
576	0.1439852227
577	0.1439424206
578	0.1439053986
579	0.1438485491
580	0.1438196753
581	0.1437602765
582	0.1437181445
583	0.1436673474
584	0.1435932826
585	0.1435245512
586	0.1434597668
587	0.1433505759
588	0.1433267823
589	0.1432780174
590	0.1432247513
591	0.1431810101
592	0.1431647077
593	0.1431085951
594	0.1430552902
595	0.1430112459
596	0.1429716718
597	0.1429373353
598	0.1429057815
599	0.1428700769
600	0.1428145213
601	0.1427771639
602	0.1427311496
603	0.1427011357
604	0.1426409619
605	0.1426206618
606	0.1426053125
607	0.1425687986
608	0.1425192553
609	0.1424674117
610	0.142400208
611	0.1423325973
612	0.1422956859
613	0.1422500389
614	0.1422132438
615	0.1421766975
616	0.1421428414
617	0.1420928752
618	0.1420592469
619	0.1420193539
620	0.1419766879
621	0.1419222985
622	0.1418856945
623	0.1418358641
624	0.1417816949
625	0.1417375191
626	0.1417211204
627	0.1416745133
628	0.1416285351
629	0.141581644
630	0.1415578173
631	0.1415244191
632	0.1414782062
633	0.1413995619
634	0.1413709892
635	0.1413283803
636	0.1412897268
637	0.141218843
