iter	Passed	Remaining
0	2	140
1	5	132
2	8	134
3	11	128
4	13	124
5	16	120
6	19	117
7	21	114
8	24	113
9	27	109
10	30	106
11	32	103
12	35	101
13	38	98
14	41	95
15	43	92
16	46	89
17	49	87
18	51	84
19	54	81
20	57	79
21	59	76
22	62	73
23	65	70
24	67	67
25	70	65
26	73	62
27	75	59
28	78	56
29	80	53
30	83	51
31	86	48
32	89	45
33	91	43
34	94	40
35	96	37
36	99	35
37	102	32
38	104	29
39	107	26
40	110	24
41	112	21
42	115	18
43	117	16
44	120	13
45	123	10
46	125	8
47	128	5
48	130	2
49	133	0
